A/C,R,O,N,RU,U,UO,RO
kothavarai HR,0,0.333333333,0,0,0.666666667,0,0
kothavarai KR,0.214532872,0.126297578,0.064013841,0.138408304,0.249134948,0.089965398,0.117647059
kothavarai MR,0,0,0,0.285714286,0.142857143,0.428571429,0.142857143
kothavarai NR,0.142857143,0.085714286,0.038095238,0.114285714,0.323809524,0.219047619,0.076190476
Lfinger LR,0.142857143,0.214285714,0,0.25,0.214285714,0.035714286,0.142857143
Lfinger HR,0,0.5,0.5,0,0,0,0
Lfinger KR,0.202531646,0.115732369,0.066907776,0.130198915,0.258589512,0.108499096,0.117540687
Lfinger MR,1,0,0,0,0,0,0
Lfinger NR,0.190140845,0.133802817,0.028169014,0.112676056,0.281690141,0.154929577,0.098591549
malli LR,0,0.083333333,0.25,0.333333333,0.25,0,0.083333333
malli HR,0.333333333,0,0.333333333,0,0,0.333333333,0
malli KR,0.205206738,0.122511485,0.055130168,0.130168453,0.255742726,0.119448698,0.11179173
malli MR,0,0,0,0.666666667,0.333333333,0,0
malli NR,0.163636364,0.163636364,0.036363636,0.072727273,0.327272727,0.072727273,0.163636364
mango LR,0.203703704,0.138888889,0.018518519,0.175925926,0.240740741,0.148148148,0.074074074
mango HR,0.166666667,0,0,0,0.333333333,0,0.5
mango KR,0.114285714,0.114285714,0.628571429,0.085714286,0.057142857,0,0
mango MR,0.12244898,0.142857143,0.020408163,0.204081633,0.265306122,0.06122449,0.183673469
mango NR,0.210227273,0.121212121,0.03219697,0.119318182,0.276515152,0.121212121,0.119318182
mushroom LR,0.146341463,0.12195122,0.048780488,0.219512195,0.365853659,0.073170732,0.024390244
mushroom HR,0,0,0,0,1,0,0
mushroom KR,0.193548387,0.111827957,0.064516129,0.101075269,0.264516129,0.122580645,0.141935484
mushroom MR,0.111111111,0.222222222,0,0,0.444444444,0.222222222,0
mushroom NR,0.223809524,0.147619048,0.047619048,0.185714286,0.219047619,0.1,0.076190476
nuckol LR,0.160714286,0.053571429,0.017857143,0.196428571,0.375,0.125,0.071428571
nuckol HR,0.166666667,0.333333333,0,0.166666667,0,0,0.333333333
nuckol MR,0.225806452,0.161290323,0.032258065,0.290322581,0.225806452,0,0.064516129
nuckol KR,0.185990338,0.144927536,0.077294686,0.099033816,0.258454106,0.115942029,0.118357488
nuckol NR,0.228310502,0.091324201,0.03652968,0.150684932,0.246575342,0.127853881,0.118721461
onion LR,0.25,0.15,0,0.05,0.3,0.2,0.05
onion HR,0,1,0,0,0,0,0
onion KR,0.188481675,0.120418848,0.071553229,0.130890052,0.260034904,0.115183246,0.113438045
onion MR,0.2,0.2,0,0.2,0.2,0.2,0
onion NR,0.237704918,0.12295082,0.008196721,0.139344262,0.262295082,0.090163934,0.139344262
peas LR,0.159574468,0.117021277,0.031914894,0.159574468,0.372340426,0.063829787,0.095744681
peas HR,0.222222222,0,0.111111111,0.111111111,0.222222222,0.222222222,0.111111111
peas MR,0.125,0.041666667,0.041666667,0.083333333,0.458333333,0.125,0.125
peas KR,0.079207921,0.138613861,0.257425743,0.089108911,0.217821782,0.128712871,0.089108911
peas NR,0.232931727,0.128514056,0.022088353,0.136546185,0.238955823,0.118473896,0.12248996
potroot LR,0.166666667,0.083333333,0,0.305555556,0.222222222,0.083333333,0.138888889
potroot HR,0,0,0,1,0,0,0
potroot KR,0.20777027,0.123310811,0.065878378,0.111486486,0.261824324,0.114864865,0.114864865
potroot MR,0,0,0,0.8,0.2,0,0
potroot NR,0.163043478,0.152173913,0.032608696,0.141304348,0.27173913,0.130434783,0.108695652
paneer LR,0.222222222,0.083333333,0.083333333,0.138888889,0.25,0.083333333,0.138888889
paneer HR,0.142857143,0.142857143,0,0.142857143,0.142857143,0.285714286,0.142857143
paneer MR,0.105263158,0.210526316,0.105263158,0.157894737,0.210526316,0.052631579,0.157894737
paneer KR,0.20746888,0.109958506,0.066390041,0.134854772,0.257261411,0.107883817,0.116182573
paneer NR,0.181318681,0.159340659,0.027472527,0.115384615,0.28021978,0.137362637,0.098901099
potato LR,0.212765957,0.085106383,0.021276596,0.14893617,0.255319149,0.14893617,0.127659574
potato HR,0,0,0,0,0.75,0,0.25
potato KR,0.187327824,0.112947658,0.082644628,0.154269972,0.250688705,0.093663912,0.1184573
potato MR,0.227272727,0.227272727,0.045454545,0.181818182,0.181818182,0.045454545,0.090909091
potato NR,0.210344828,0.137931034,0.034482759,0.096551724,0.272413793,0.14137931,0.106896552
pumkin LR,0.202020202,0.101010101,0.01010101,0.101010101,0.454545455,0.070707071,0.060606061
pumkin HR,0.142857143,0.142857143,0,0.142857143,0.285714286,0,0.285714286
pumkin MR,0.162790698,0.046511628,0.023255814,0.209302326,0.209302326,0.302325581,0.046511628
pumkin KR,0.127659574,0.063829787,0.468085106,0.063829787,0.14893617,0.021276596,0.106382979
pumkin NR,0.20754717,0.139622642,0.033962264,0.135849057,0.237735849,0.116981132,0.128301887
pudina LR,0.166666667,0,0,0,0.333333333,0.5,0
pudina KR,0.198127925,0.127925117,0.062402496,0.127925117,0.257410296,0.110764431,0.115444618
pudina NR,0.202531646,0.101265823,0.025316456,0.164556962,0.278481013,0.113924051,0.113924051
radish LR,0.142857143,0,0,0.428571429,0.428571429,0,0
radish HR,0,0.5,0,0,0.5,0,0
radish MR,0,0.25,0,0.25,0,0.5,0
radish KR,0.205206738,0.124042879,0.059724349,0.120980092,0.260336907,0.108728943,0.120980092
radish NR,0.15,0.116666667,0.05,0.2,0.25,0.166666667,0.066666667
tomato LR,0.140625,0.0625,0,0.140625,0.265625,0.234375,0.15625
tomato HR,0,0,0,0,0.75,0.25,0
tomato MR,0.136363636,0.136363636,0.045454545,0.045454545,0.454545455,0.045454545,0.136363636
tomato KR,0.200863931,0.127429806,0.071274298,0.129589633,0.265658747,0.095032397,0.110151188
tomato NR,0.225433526,0.138728324,0.046242775,0.144508671,0.208092486,0.12716763,0.10982659
tondaikai LR,0.17721519,0.126582278,0.021097046,0.185654008,0.299578059,0.113924051,0.075949367
tondaikai HR,0.2,0.171428571,0.028571429,0.142857143,0.257142857,0,0.2
tondaikai MR,0.22147651,0.120805369,0.053691275,0.140939597,0.275167785,0.067114094,0.120805369
tondaikai KR,0.071428571,0.071428571,0.75,0,0.107142857,0,0
tondaikai NR,0.216606498,0.122743682,0.025270758,0.090252708,0.23465704,0.166064982,0.144404332
vazpooThandu LR,0.224358974,0.070512821,0.019230769,0.230769231,0.269230769,0.096153846,0.08974359
vazpooThandu HR,0.272727273,0.181818182,0.045454545,0,0.363636364,0,0.136363636
vazpooThandu MR,0.141025641,0.128205128,0.025641026,0.115384615,0.230769231,0.230769231,0.128205128
vazpooThandu KR,0.206030151,0.145728643,0.150753769,0.045226131,0.24120603,0.085427136,0.125628141
vazpooThandu NR,0.188191882,0.132841328,0.022140221,0.151291513,0.269372694,0.121771218,0.114391144
yams LR,0.281553398,0.087378641,0.038834951,0.087378641,0.339805825,0.067961165,0.097087379
yams HR,0.111111111,0.055555556,0,0.166666667,0.388888889,0.166666667,0.111111111
yams MR,0.152777778,0.097222222,0.041666667,0.138888889,0.277777778,0.125,0.166666667
yams KR,0.068965517,0.068965517,0.724137931,0.034482759,0.103448276,0,0
yams NR,0.198412698,0.140873016,0.027777778,0.142857143,0.246031746,0.126984127,0.117063492
gram LR,0.277777778,0.088888889,0.033333333,0.077777778,0.2,0.155555556,0.166666667
gram HR,0.333333333,0.111111111,0,0.111111111,0.222222222,0.111111111,0.111111111
gram KR,0.148325359,0.119617225,0.133971292,0.148325359,0.28708134,0.066985646,0.09569378
gram MR,0.176470588,0.176470588,0,0.117647059,0.382352941,0.088235294,0.058823529
gram NR,0.205729167,0.130208333,0.028645833,0.135416667,0.25,0.1328125,0.1171875
channa LR,0.5,0.25,0,0.125,0.125,0,0
channa HR,0,0,0,0,1,0,0
channa KR,0.197730956,0.11993517,0.061588331,0.136142626,0.262560778,0.111831442,0.110210697
channa MR,0,0,0,0.5,0.5,0,0
channa NR,0.1875,0.145833333,0.041666667,0.083333333,0.239583333,0.145833333,0.15625
dhal LR,0.05,0.1,0,0.2,0.5,0.05,0.1
dhal HR,0.333333333,0,0,0,0.333333333,0,0.333333333
dhal MR,0.066666667,0.266666667,0,0.066666667,0.466666667,0.133333333,0
dhal KR,0.196721311,0.116575592,0.067395264,0.142076503,0.236794171,0.116575592,0.123861566
dhal NR,0.237410072,0.143884892,0.035971223,0.086330935,0.294964029,0.115107914,0.086330935
maida LR,0.2,0,0,0,0.4,0,0.4
maida KR,0.205592105,0.129934211,0.067434211,0.125,0.238486842,0.116776316,0.116776316
maida NR,0.159292035,0.097345133,0.008849558,0.168141593,0.371681416,0.10619469,0.088495575
oats LR,0.15625,0.083333333,0.03125,0.145833333,0.260416667,0.21875,0.104166667
oats HR,0.266666667,0.133333333,0.066666667,0.133333333,0.333333333,0,0.066666667
oats KR,0.163043478,0.097826087,0.25,0.065217391,0.195652174,0.054347826,0.173913043
oats MR,0.227272727,0.068181818,0,0.136363636,0.454545455,0.068181818,0.045454545
oats NR,0.208768267,0.141962422,0.03131524,0.139874739,0.252609603,0.112734864,0.112734864
ragi LR,0.252747253,0.087912088,0.021978022,0.10989011,0.285714286,0.186813187,0.054945055
ragi HR,0.166666667,0,0.166666667,0,0.666666667,0,0
ragi KR,0.205714286,0.114285714,0.142857143,0.137142857,0.222857143,0.085714286,0.091428571
ragi MR,0.210526316,0.087719298,0,0.157894737,0.315789474,0.175438596,0.052631579
ragi NR,0.181360202,0.143576826,0.035264484,0.130982368,0.256926952,0.103274559,0.14861461
rice LR,0.153846154,0.184615385,0.030769231,0.061538462,0.4,0.153846154,0.015384615
rice HR,0.166666667,0.5,0,0,0.333333333,0,0
rice KR,0.242424242,0.096969697,0.096969697,0.175757576,0.212121212,0.051515152,0.124242424
rice MR,0.045454545,0.318181818,0,0.045454545,0.272727273,0.227272727,0.090909091
rice NR,0.171617162,0.118811881,0.02640264,0.105610561,0.280528053,0.168316832,0.128712871
wheat LR,0.19047619,0.174603175,0.031746032,0.126984127,0.222222222,0.19047619,0.063492063
wheat HR,0.111111111,0.222222222,0,0,0.333333333,0.111111111,0.222222222
wheat KR,0.189111748,0.108882521,0.085959885,0.169054441,0.243553009,0.091690544,0.111747851
wheat MR,0.111111111,0.138888889,0,0.055555556,0.5,0.055555556,0.138888889
wheat NR,0.226765799,0.126394052,0.037174721,0.096654275,0.256505576,0.133828996,0.12267658
coconut LR,0.254237288,0.169491525,0.033898305,0.13559322,0.254237288,0.016949153,0.13559322
coconut HR,0.2,0.2,0,0,0.6,0,0
coconut KR,0.182080925,0.106936416,0.095375723,0.144508671,0.251445087,0.104046243,0.115606936
coconut MR,0.117647059,0.264705882,0.029411765,0.058823529,0.264705882,0.205882353,0.058823529
coconut NR,0.216312057,0.117021277,0.021276596,0.124113475,0.265957447,0.138297872,0.117021277
oil LR,0.333333333,0.111111111,0,0.444444444,0.111111111,0,0
oil KR,0.205007825,0.126760563,0.062597809,0.115805947,0.264475743,0.111111111,0.114241002
oil NR,0.123287671,0.095890411,0.02739726,0.232876712,0.260273973,0.123287671,0.136986301
oil MR,0.2,0.2,0,0,0,0.6,0
garlic LR,0.134615385,0.125,0.019230769,0.192307692,0.298076923,0.134615385,0.096153846
garlic HR,0.214285714,0.142857143,0,0,0.5,0,0.142857143
garlic MR,0.137254902,0.215686275,0.058823529,0.098039216,0.196078431,0.098039216,0.196078431
garlic KR,0.209302326,0.124031008,0.170542636,0.139534884,0.240310078,0.069767442,0.046511628
garlic NR,0.21728972,0.112149533,0.035046729,0.121495327,0.257009346,0.128504673,0.128504673
ginger LR,0.25,0.133333333,0.016666667,0.133333333,0.2,0.133333333,0.133333333
ginger HR,0,0,0,0.25,0.25,0,0.5
ginger KR,0.166666667,0.115384615,0.082051282,0.125641026,0.261538462,0.117948718,0.130769231
ginger MR,0.275862069,0.068965517,0,0.103448276,0.344827586,0.103448276,0.103448276
ginger NR,0.230452675,0.144032922,0.037037037,0.139917695,0.263374486,0.106995885,0.0781893
pepper LR,0.1875,0.1875,0.0625,0.0625,0.3125,0.0625,0.125
pepper HR,0.333333333,0,0,0,0.666666667,0,0
pepper KR,0.203809524,0.125714286,0.07047619,0.106666667,0.266666667,0.106666667,0.12
pepper MR,0.4,0,0,0,0.2,0.2,0.2
pepper NR,0.175141243,0.118644068,0.02259887,0.214689266,0.231638418,0.141242938,0.096045198
tamarind LR,0.153846154,0.153846154,0,0.230769231,0.307692308,0.153846154,0
tamarind HR,0.333333333,0.333333333,0,0,0,0,0.333333333
tamarind KR,0.202090592,0.118466899,0.071428571,0.120209059,0.271777003,0.106271777,0.109756098
tamarind MR,0.375,0.25,0,0,0.25,0,0.125
tamarind NR,0.171875,0.1328125,0.0078125,0.1796875,0.2109375,0.15625,0.140625
aginomoto LR,0,0.230769231,0.076923077,0.230769231,0.153846154,0.230769231,0.076923077
aginomoto KR,0.202177294,0.125972006,0.060653188,0.127527216,0.255054432,0.113530327,0.115085537
aginomoto NR,0.194029851,0.074626866,0.029850746,0.149253731,0.343283582,0.089552239,0.119402985
aginomoto MR,0.333333333,0.333333333,0,0,0,0.333333333,0
spices LR,0,0.272727273,0.090909091,0,0.363636364,0.181818182,0.090909091
spices KR,0.202808112,0.126365055,0.060842434,0.129485179,0.252730109,0.112324493,0.115444618
spices NR,0.183098592,0.084507042,0.028169014,0.169014085,0.309859155,0.112676056,0.112676056
spices MR,0.333333333,0,0,0,0.333333333,0.333333333,0
coco LR,0.207594937,0.113924051,0.040506329,0.106329114,0.275949367,0.144303797,0.111392405
coco HR,0.166666667,0.083333333,0.055555556,0.25,0.166666667,0.083333333,0.194444444
coco KR,0.228571429,0.171428571,0.2,0.038095238,0.152380952,0.047619048,0.161904762
coco MR,0.155172414,0.112068966,0.00862069,0.206896552,0.362068966,0.051724138,0.103448276
coco NR,0.189189189,0.148648649,0.027027027,0.216216216,0.216216216,0.162162162,0.040540541
horlicks LR,0.198979592,0.117346939,0.038265306,0.130102041,0.280612245,0.135204082,0.099489796
horlicks HR,0.133333333,0.066666667,0.066666667,0,0.333333333,0.2,0.2
horlicks KR,0.264,0.16,0.184,0.048,0.152,0.04,0.152
horlicks MR,0.138613861,0.089108911,0,0.198019802,0.316831683,0.108910891,0.148514851
horlicks NR,0.182795699,0.150537634,0.032258065,0.193548387,0.247311828,0.11827957,0.075268817
boost LR,0.120689655,0.155172414,0.034482759,0.068965517,0.293103448,0.137931034,0.189655172
boost HR,0.25,0,0,0,0.75,0,0
boost MR,0.2,0.1,0.1,0,0.4,0.2,0
boost KR,0.212962963,0.118518519,0.068518519,0.151851852,0.22962963,0.111111111,0.107407407
boost NR,0.166666667,0.140350877,0.01754386,0.078947368,0.359649123,0.114035088,0.122807018
nuts LR,0.146496815,0.108280255,0.025477707,0.152866242,0.305732484,0.127388535,0.133757962
nuts HR,0.268292683,0.097560976,0.024390244,0.195121951,0.292682927,0.024390244,0.097560976
nuts KR,0.211764706,0.117647059,0.135294118,0.129411765,0.235294118,0.117647059,0.052941176
nuts MR,0.202247191,0.134831461,0.02247191,0.134831461,0.269662921,0.08988764,0.146067416
nuts NR,0.208178439,0.137546468,0.044609665,0.107806691,0.241635688,0.126394052,0.133828996
runningnose YES,0.412878788,0.037878788,0.003787879,0.299242424,0.007575758,0,0.238636364
runningnose NO,0.075757576,0.173160173,0.088744589,0.034632035,0.404761905,0.17965368,0.043290043
sneeze YES,0.414179104,0.044776119,0,0.305970149,0,0,0.235074627
sneeze NO,0.072052402,0.170305677,0.091703057,0.028384279,0.412663755,0.181222707,0.043668122
cough YES,0.335135135,0.07027027,0,0.324324324,0,0.016216216,0.254054054
cough NO,0.151571165,0.14232902,0.077634011,0.064695009,0.34935305,0.147874307,0.066543438
wheezeBlocks YES,0.34893617,0.085106383,0,0.331914894,0,0.012765957,0.221276596
wheezeBlocks NO,0.126272912,0.142566191,0.085539715,0.034623218,0.384928717,0.16293279,0.063136456
headache YES,0.226666667,0.04,0,0.413333333,0,0.013333333,0.306666667
headache NO,0.190972222,0.145833333,0.072916667,0.057291667,0.328125,0.140625,0.064236111
itching YES,0.002463054,0.118226601,0.002463054,0.219211823,0.450738916,0.201970443,0.004926108
itching NO,0.446875,0.13125,0.128125,0.01875,0.01875,0.003125,0.253125
swelling YES,0,0.079365079,0,0.338624339,0.380952381,0.201058201,0
swelling NO,0.268156425,0.139664804,0.078212291,0.057728119,0.217877095,0.083798883,0.154562384
redrashes YES,0,0.068027211,0,0.414965986,0.306122449,0.210884354,0
redrashes NO,0.248704663,0.138169257,0.07253886,0.058721934,0.248704663,0.089810017,0.143350604
Age G3,0.161825726,0.112033195,0.058091286,0.182572614,0.257261411,0.149377593,0.078838174
Age G5,0.171428571,0.085714286,0.085714286,0.085714286,0.285714286,0.228571429,0.057142857
Age NO,0,0.333333333,0,0,0.666666667,0,0
Age G4,0.191489362,0.191489362,0.085106383,0.138297872,0.244680851,0.053191489,0.095744681
Age G2,0.226765799,0.092936803,0.040892193,0.100371747,0.267657993,0.100371747,0.171003717
Age G1,0.238095238,0.19047619,0.071428571,0.095238095,0.238095238,0.083333333,0.083333333
Sex F,0.153652393,0.115869018,0.057934509,0.156171285,0.289672544,0.120906801,0.105793451
Sex M,0.252279635,0.133738602,0.05775076,0.100303951,0.224924012,0.106382979,0.124620061
Fhistory YES,0.137554585,0.128820961,0,0.189956332,0.244541485,0.11790393,0.181222707
Fhistory NO,0.302238806,0.115671642,0.156716418,0.029850746,0.287313433,0.108208955,0
